source,destination,weight
Dharampur,Jakhan,11.2
Subhash Nagar,Vasant Vihar,11.6
Clement Town,Railway Station,6.9
Kargi Chowk,Doiwala,12.5
Jakhan,Aman Vihar,14.6
Sahastradhara,Mothrowala,10.3
Dharampur,Railway Station,14.4
Dharampur,Karanpur,2.6
ISBT,Vasant Vihar,12.2
Turner Road,Vidhan Sabha,12.8
Buddhi Vihar,Pondha,3.9
Pacific Mall,Khalanga,12.8
ISBT,Premnagar,14.9
Karanpur,Aman Vihar,6.7
Majra,EC Road,9.4
Khalanga,Lachhiwala,14.2
Vasant Vihar,Jakhan,12.9
Tapkeshwar,Aman Vihar,2.2
Railway Station,Chukkuwala,5.7
Subhash Nagar,Kaulagarh,8.1
Ashley Hall,Buddhi Vihar,12.5
GMS Road,Raipur,6.6
Ashley Hall,Tapkeshwar,11.7
Mothrowala,Aman Vihar,11.7
Buddhi Vihar,Aman Vihar,5.5
Turner Road,Chukkuwala,14.9
Pondha,Race Course,11.8
Indira Nagar,Turner Road,12.1
Ballupur,Aman Vihar,8.6
Ashley Hall,Karanpur,4.3
Mussoorie Diversion,Indira Nagar,8.3
Ashley Hall,ISBT,6.3
GMS Road,Lachhiwala,3.3
Dharampur,Defence Colony,2.7
Lachhiwala,Chukkuwala,13.2
Ashley Hall,Sahastradhara,5.1
Pondha,Defence Colony,13.9
Race Course,Kargi Chowk,12.6
Vasant Vihar,Buddhi Vihar,7.7
Clock Tower,Chukkuwala,3.0
GMS Road,Ballupur,12.7
Mussoorie Diversion,Clement Town,4.7
Rajpur Road,Vidhan Sabha,4.0
Selaqui,Railway Station,9.9
Kargi Chowk,EC Road,9.7
Vidhan Sabha,Railway Station,9.1
Subhash Nagar,Mothrowala,6.8
Vidhan Sabha,Mothrowala,9.7
Aman Vihar,EC Road,12.0
Doiwala,Mothrowala,12.4
Railway Station,Race Course,4.4
Kargi Chowk,Vidhan Sabha,6.7
Clock Tower,Doiwala,10.6
Defence Colony,Aman Vihar,9.1
ISBT,Mussoorie Diversion,5.4
EC Road,Dharampur,13.3
Mussoorie Diversion,Raipur,4.9
Chukkuwala,Rajpur Road,12.7
Jakhan,Niranjanpur,11.5
Buddhi Vihar,Kargi Chowk,9.8
Mothrowala,ISBT,3.6
Chukkuwala,Clement Town,8.8
Kargi Chowk,Doiwala,5.2
Buddhi Vihar,GMS Road,6.7
Buddhi Vihar,Rajpur Road,4.5
Race Course,Tapkeshwar,5.3
GMS Road,Race Course,8.1
Kargi Chowk,EC Road,10.0
Buddhi Vihar,Vasant Vihar,2.5
Defence Colony,Rajpur Road,7.4
Turner Road,Kaulagarh,11.0
Chukkuwala,Subhash Nagar,5.8
Clement Town,Buddhi Vihar,13.0
Indira Nagar,Race Course,2.3
Khalanga,Kaulagarh,7.8
Mothrowala,Buddhi Vihar,4.5
GMS Road,Dalanwala,9.8
Pacific Mall,Khalanga,12.5
Lachhiwala,Selaqui,12.3
Defence Colony,Dharampur,8.6
Clock Tower,Kaulagarh,13.4
Kargi Chowk,Turner Road,7.8
Pondha,Sahastradhara,8.3
Majra,Vidhan Sabha,2.9
Vasant Vihar,Vidhan Sabha,8.5
Majra,ISBT,10.9
Jakhan,Subhash Nagar,12.0
Majra,Khalanga,4.4
Selaqui,Sahastradhara,3.6
Dalanwala,Subhash Nagar,2.6
GMS Road,Kaulagarh,8.6
Mothrowala,Dalanwala,9.3
Rajpur Road,Khalanga,3.0
Buddhi Vihar,Tapkeshwar,6.9
Turner Road,Ballupur,12.8
Clement Town,Pacific Mall,6.8
Rajpur Road,Pondha,7.1
GMS Road,Defence Colony,7.2
Ashley Hall,Pondha,2.6
Clock Tower,Sahastradhara,12.2
Kaulagarh,Lachhiwala,5.1
Tapkeshwar,Defence Colony,7.0
Tapkeshwar,Vasant Vihar,2.0
Doiwala,Dalanwala,13.4
ISBT,Mussoorie Diversion,11.3
EC Road,Niranjanpur,14.7
Aman Vihar,Vasant Vihar,6.4
Turner Road,Mussoorie Diversion,7.5
Majra,Vasant Vihar,3.4
Vasant Vihar,Selaqui,13.4
Race Course,Doiwala,10.0
Ballupur,Jakhan,3.6
Clock Tower,Raipur,9.7
Tapkeshwar,Raipur,5.8
Premnagar,Jakhan,4.0
Majra,Kargi Chowk,9.9
GMS Road,Clement Town,9.5
Railway Station,GMS Road,9.3
Pondha,Vidhan Sabha,6.3
Premnagar,Clock Tower,3.5
